"2019-01-24 07:33:41 [main] INFO  c.s.nextevent.NexteventApplication - Starting NexteventApplication on BLR-STR-SANJU with PID 24953 (/home/sanju/Music/APIEureka/eventbrite-service/target/classes started by sanju in /home/sanju/Music/APIEureka)
""2019-01-24 07:36:57 [cluster-ClusterId{value='5c491dc14b5b6d66320b5eec', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 6, 8]}, minWireVersion=0, maxWireVersion=6, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2611327}
""2019-01-24 07:36:58 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
""2019-01-24 07:36:58 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-01-24 07:36:58 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
""2019-01-24 07:36:58 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
""2019-01-24 07:36:58 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
""2019-01-24 07:36:58 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
""2019-01-24 07:36:58 [main] INFO  c.s.nextevent.NexteventApplication - Started NexteventApplication in 4.034 seconds (JVM running for 4.517)
""2019-01-24 07:39:23 [Thread-4] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
"
